Count		Words
43		FIFA
1		bans
135		Russian
3		flag,
5		anthem
270		at
25		matches
71		over
61		Ukraine
2		invasion

47		European
8		nations
15		say
5		FIFA’s
4		measures
172		are
1		inadequate,
12		call
480		for
113		Russia
1126		to
223		be
2		expelled
254		from
74		World
5		Cup.

67		players
2		pose
929		a
166		team
1		photo
54		before
51		UEFA
27		Nations
68		League
32		match
2439		the
1		Rajko
1		Mitic
8		Stadium,
1088		in
1		Belgrade,
1		Serbia,
445		on
5		November
1		18,
7		2020
11		[File:
2		Marko
1		Djurica/
6		Reuters]

25		Published
47		On
9		28
73		Feb
63		2022

184		has
3		ordered
88		play
7		without
105		its
11		flag
1036		and
17		neutral
3		venues,
3		warning
26		country
65		could
2		excluded
21		competitions
37		if
14		situation
15		does
177		not
2		improve.

1655		

2		Sunday’s
1		announcements
78		which
20		called
1		“immediate
87		first
1		measures”
1		were,
2		however,
2		swiftly
4		criticised
256		as
1		insufficient
150		by
2		nations.

25		KEEP
25		READING

118		list
1141		of
35		4
25		items

73		1
57		4

1		rouble
1		plunges
11		record
5		low
7		amid
1		outrage
15		Ukraine

38		2
1		Key
8		questions
171		after
2		Putin’s
1		nuclear
1		announcement

41		3
7		More
65		than
2		2,000
1		arrested
1		anti-war
1		protests
3		Russia

2		Can
7		Europe
3		handle
2		refugees
2		Russia-Ukraine
1		war?

45		end
26		list

7		FIFA,
124		who
4		condemned
1		“use
4		force
40		invasion
1		Ukraine”,
147		said
346		that
39		no
44		international
68		football
161		will
44		played
20		Russia,
7		country’s
8		banned
49		any
170		their
1		abroad.

248		The
12		global
20		governing
19		body
56		national
91		would
14		compete
167		but
22		Football
8		Union
1		(RFU),
1		‘home’
19		games
15		held
322		with
33		fans
1		“neutral
1		territory”.

45		But
18		Polish
11		Association
2		chief
7		Cezary
4		Kulesza
9		stance
1		“Today’s
49		decision
382		is
1		totally
1		unacceptable.
28		We
4		interested
4		participating
163		this
59		game
4		appearances.
11		Our
12		remains
4		intact:
15		National
7		Team
10		matter
48		what
20		name
2		is,”
224		he
10		wrote
4		Twitter.

3		“If
1		Human
3		Rights
1		Policy
78		more
76		just
4		words
1		paper,
31		now
50		time
14		put
201		it
61		into
1		effect,
2		excluding
8		qualifying
6		Qatar
78		Cup
2		2022,”
10		added
6		statement.

11		Poland
128		had
96		been
25		due
16		Moscow
22		March
1		24.

2		Should
1		prevail,
87		they
28		then
12		scheduled
16		host
7		winners
22		between
13		Czech
6		Republic
13		Sweden
1		29.

8		draw
1		finals,
1		staged
4		December,
22		set
3		April
1		1.

188		have
108		also
95		against
1		Russians.

6		Swedish
10		federation
18		president
2		Karl-Erik
1		Nilsson,
6		senior
2		vice
7		president,
42		told
3		website
1		Fotbollskanalen
330		was
1		satisfied
1		“sharper
1		stance”
1		expected.

1		Czechs
1		compromise
38		did
12		change
11		Russia.

2		try
13		find
3		solution
40		three
12		countries
8		involved
1		qualifiers.

1		“[FIFA]
14		already
1		engaged
3		dialogue
103		all
15		these
1		associations.
15		remain
8		close
3		contact
1		seek
2		appropriate
1		acceptable
1		solutions
1		together,”
33		statement
42		said.

2		England’s
2		“for
3		foreseeable
1		future”.

1		“Out
12		solidarity
1		wholeheartedly
2		condemn
1		atrocities
36		being
6		committed
1		leadership,
5		FA
51		can
1		confirm
80		we
7		won’t
2		fixtures
1		future.
28		This
4		includes
10		potential
10		level
2		senior,
10		age
5		group
82		or
1		para
1		football,”
4		spokesman
9		However,
2		offer
7		prospect
14		further
3		sanctions.

2		“FIFA
18		continue
3		ongoing
3		IOC,
35		other
29		sport
8		organisations
1		determine
1		additional
2		sanctions,
33		including
3		exclusion
3		competitions,
2		shall
1		applied
7		near
12		future
32		should
1		improving
1		rapidly,”
24		International
72		Olympic
31		Committee
10		urged
18		federations
11		Friday
11		either
22		move
